,objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class,diff_u,diff_g,diff_r,diff_i,diff_z
329722,1237661356463161473,160.80348,44.091919,19.3392,19.01386,18.99336,18.92147,18.70978,19.33886,19.02711,18.99061,18.92608,18.70732,2.077358,0.325346,0.02049828,0.07188797,0.2116928,b'QSO',0.00034000000000133923,-0.013249999999999318,0.00274999999999892,-0.004609999999999559,0.0024599999999992406
59740,1237660344470863955,138.42699,37.434271,18.31214,18.06619,17.69561,17.32835,16.96542,18.29337,18.07716,17.69556,17.33628,16.96445,2.127055,0.2459469,0.3705788,0.3672619,0.3629341,b'QSO',0.018769999999999953,-0.010970000000000368,4.9999999998107114e-05,-0.007929999999998216,0.0009700000000023579
22637,1237654602635018376,145.07679,4.747626,19.59747,19.28951,18.99461,18.97048,18.9855,19.59263,19.29385,18.98477,18.97422,19.00638,1.084535,0.3079586,0.2949009,0.02413559,-0.01502228,b'QSO',0.00484000000000151,-0.004339999999999122,0.009840000000000515,-0.0037400000000005207,-0.020880000000001786
172885,1237665099000119309,141.54594,27.641182,18.74783,18.8571,18.94304,18.68739,18.6888,18.77072,18.86995,18.96191,18.70801,18.7072,1.909972,-0.109272,-0.08594704,0.2556553,-0.001407623,b'QSO',-0.0228900000000003,-0.01285000000000025,-0.01886999999999972,-0.02062000000000097,-0.01839999999999975
295151,1237657773927104698,124.77896,31.526876,18.32185,18.04728,18.15468,18.06851,18.13786,18.36482,18.05459,18.18309,18.10953,18.17496,0.6314356,0.2745686,-0.1073971,0.08616829,-0.0693531,b'QSO',-0.0429700000000004,-0.007310000000000372,-0.028410000000000935,-0.04101999999999961,-0.0370999999999988
29494,1237658800425795808,178.91147,53.681938,18.54493,18.19402,17.52058,17.06965,16.93306,19.16246,19.08185,18.54143,18.17268,18.01645,0.213222,0.3509083,0.6734409,0.450922,0.1365967,b'QSO',-0.6175299999999986,-0.887830000000001,-1.0208499999999994,-1.1030300000000004,-1.0833899999999979
364911,1237667783899414585,162.60551,22.006866,18.80205,18.60324,18.59463,18.40414,18.38876,18.7872,18.62967,18.61386,18.40138,18.41269,1.631333,0.1988087,0.008619308,0.1904831,0.01538467,b'QSO',0.014850000000002694,-0.026430000000001286,-0.019230000000000302,0.002760000000002094,-0.023930000000000007
3559,1237648721255596169,236.77664,-0.020624753,18.951,18.61932,18.51347,18.68621,18.47016,18.94085,18.64043,18.5192,18.69488,18.46756,0.7767798,0.331686,0.1058445,-0.1727371,0.2160492,b'QSO',0.010149999999999437,-0.021110000000000184,-0.005729999999999791,-0.008670000000002176,0.002600000000001046
76993,1237662196140343364,195.00695,43.268224,19.38672,19.2546,18.94924,19.05775,19.25517,19.38564,19.28134,18.9685,19.06849,19.26137,1.261141,0.1321182,0.3053627,-0.1085091,-0.1974239,b'QSO',0.0010800000000017462,-0.026740000000000208,-0.019259999999999167,-0.01074000000000197,-0.006199999999999761
354177,1237661816028397600,204.17448,11.082468,18.21433,18.1905,18.20074,17.85132,17.97352,18.22242,18.23033,18.21545,17.88177,17.98496,1.698296,0.0238266,-0.01023674,0.3494129,-0.1221943,b'QSO',-0.008089999999999264,-0.03982999999999848,-0.014710000000000889,-0.030449999999998312,-0.011440000000000339
5899,1237678622242177131,33.990893,3.9080669,19.02371,18.72565,18.42338,18.25577,18.32254,19.03253,18.75736,18.48849,18.32318,18.38781,0.2103577,0.298069,0.3022614,0.167614,-0.06676865,b'QSO',-0.00882000000000005,-0.031709999999996796,-0.06510999999999711,-0.06741000000000241,-0.06527000000000172
