objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class,diff_u,diff_g,diff_g1,diff_i,diff_z
1237674650465730728,180.43111,0.18307162,21.37687,19.29055,18.32251,17.88777,17.4776,22.08723,19.95226,19.04736,18.63213,18.23013,0.1043577,2.086313,0.9680424,0.4347363,0.4101696,GALAXY,-0.7103615,-0.6617069,-0.7248497,-0.7443523,-0.7525215
1237674650465861978,180.741,0.059916008,18.8252,17.27681,16.50598,16.06653,15.74942,20.97282,19.42082,18.66889,18.2332,17.90385,0.07968453,1.548389,0.7708302,0.4394455,0.317111,GALAXY,-2.147623,-2.144012,-2.162912,-2.166672,-2.154435
1237674650465730714,180.40687,0.084739493,19.3873,17.8268,16.98794,16.56619,16.27296,20.88484,19.4665,18.78046,18.33644,17.99642,0.1309347,1.560501,0.8388577,0.4217453,0.2932339,GALAXY,-1.497545,-1.639702,-1.792519,-1.770243,-1.723461
1237648704040140999,183.31586,-0.2474747,21.10773,19.40485,17.85683,17.28786,16.90403,22.17186,20.69123,19.11166,18.48447,18.37008,0.2883951,1.702883,1.548021,0.5689659,0.3838348,GALAXY,-1.064127,-1.286377,-1.254827,-1.196602,-1.466049
1237648721232199818,183.35681,-0.14564755,19.22161,17.518,16.57688,16.1573,15.80796,21.33827,19.43968,18.38842,17.98809,17.66956,0.1261862,1.703609,0.9411163,0.4195843,0.3493404,GALAXY,-2.116661,-1.92168,-1.811541,-1.830793,-1.861599
1237648721232199814,183.35403,-0.1817429,19.63355,18.29928,17.63232,17.25696,17.03551,21.49041,20.22721,19.49586,19.18882,18.88993,0.1272458,1.334272,0.6669598,0.3753605,0.2214451,GALAXY,-1.856857,-1.927933,-1.863546,-1.931862,-1.854414
1237648721232199791,183.30988,-0.16971023,18.92441,18.00677,17.55995,17.16486,17.10133,19.81357,18.98104,18.49688,18.15241,18.05837,0.1249042,0.9176331,0.4468212,0.3950958,0.06352425,GALAXY,-0.8891621,-0.9742661,-0.9369221,-0.9875546,-0.9570332
1237648720695394573,183.43378,-0.50041547,18.81787,17.01963,16.14795,15.77457,15.47649,20.18087,18.40107,17.5797,17.21559,16.94043,0.08198547,1.798244,0.8716755,0.3733778,0.2980833,GALAXY,-1.362999,-1.381447,-1.431746,-1.441016,-1.463938
1237648704040206557,183.42512,-0.26076659,19.08585,17.35087,16.41392,15.92769,15.59309,20.88382,19.20544,18.13183,17.59764,17.43592,0.1246059,1.734974,0.9369564,0.4862242,0.3346014,GALAXY,-1.797974,-1.854572,-1.717915,-1.669953,-1.842827
1237648720695328947,183.30705,-0.6068566,20.18088,18.41022,17.39325,16.97151,16.63546,21.43603,19.71584,18.6845,18.31293,17.99939,0.1157809,1.770664,1.01697,0.4217358,0.33605,GALAXY,-1.255146,-1.30562,-1.291248,-1.341413,-1.363928
1237648704040140972,183.22308,-0.36786866,19.97624,18.55161,17.49602,17.00815,16.67715,21.27261,20.06368,18.99907,18.38788,18.30948,0.1853877,1.424625,1.055597,0.4878674,0.3310051,GALAXY,-1.296373,-1.512062,-1.50305,-1.379732,-1.632332
1237648720695263464,183.23198,-0.59975011,19.63759,17.97649,17.18889,16.73526,16.40436,21.21408,19.84999,19.00777,18.64255,18.3124,0.07500023,1.6611,0.7875957,0.4536285,0.3309021,GALAXY,-1.576496,-1.873501,-1.818874,-1.90729,-1.908033
1237648720695263257,183.14104,-0.52432127,18.55264,16.67668,15.748,15.29397,14.92729,20.59874,18.92027,17.92414,17.52959,17.17834,0.07192567,1.875959,0.9286795,0.4540234,0.3666849,GALAXY,-2.046101,-2.243595,-2.176141,-2.235612,-2.251051
1237648720695263414,183.1928,-0.62262293,20.39353,18.47502,17.56805,17.18329,16.87836,21.48266,19.60606,18.67844,18.33715,18.05556,0.1071958,1.91851,0.9069729,0.3847523,0.3049374,GALAXY,-1.089128,-1.131042,-1.110394,-1.153852,-1.1772
1237648703503269982,183.25999,-0.65724358,21.27792,18.84961,17.66018,17.17596,16.83382,21.86753,19.65458,18.44854,17.94281,17.749,0.1826038,2.42831,1.189426,0.4842243,0.3421364,GALAXY,-0.5896111,-0.8049736,-0.7883568,-0.7668514,-0.9151745
1237648720695263565,183.1648,-0.62876081,22.31348,20.60238,18.91992,18.14167,17.71141,23.03618,21.85521,20.16164,19.4066,18.99772,0.4587635,1.711105,1.682451,0.7782516,0.4302597,GALAXY,-0.7226963,-1.252836,-1.241714,-1.264925,-1.286306
1237648704040140899,183.18616,-0.36751898,18.02503,16.33259,15.49838,15.03221,14.72964,19.82263,18.29937,17.34824,16.80236,16.70296,0.07393959,1.69244,0.8342123,0.4661713,0.3025694,GALAXY,-1.797598,-1.966778,-1.849858,-1.77015,-1.973324
1237648720695263455,183.23183,-0.49069304,23.25297,19.83946,18.14183,17.54038,17.19124,24.00006,21.07548,19.3801,18.82724,18.47725,0.3463162,3.413504,1.697628,0.60145,0.3491459,GALAXY,-0.7470951,-1.236019,-1.238266,-1.286856,-1.286009
1237648704040075381,183.11341,-0.29713319,18.707,17.44925,16.93461,16.62722,16.41139,19.36389,18.45746,17.95058,17.54988,17.58719,0.03528344,1.257751,0.5146351,0.3073902,0.215826,GALAXY,-0.6568928,-1.008215,-1.015968,-0.9226551,-1.175797
1237648720695328925,183.30025,-0.57444701,19.25089,17.20729,16.18152,15.75793,15.40234,20.65131,18.68999,17.64235,17.28048,16.91546,0.1163223,2.043594,1.02577,0.4235878,0.3555889,GALAXY,-1.400423,-1.482702,-1.460831,-1.522545,-1.513121
1237648704040075423,183.14661,-0.251667,20.71099,18.55612,17.67642,17.21292,16.88555,21.73238,20.07661,19.09594,18.50011,18.4527,0.125463,2.154869,0.8796959,0.4635029,0.3273659,GALAXY,-1.021389,-1.520489,-1.419514,-1.287193,-1.567144
1237648720695263949,183.19712,-0.4733178,23.74569,20.9703,19.25598,18.48467,18.07776,24.17804,21.95121,20.1982,19.51455,19.03228,0.4345305,2.775389,1.714321,0.7713051,0.4069118,GALAXY,-0.4323578,-0.980917,-0.9422283,-1.029877,-0.954525
1237648704040140917,183.20782,-0.24238648,19.72888,18.3752,17.67939,17.28606,17.0372,20.56266,19.47695,18.81072,18.29643,18.38156,0.1168292,1.353682,0.6958103,0.3933315,0.2488556,GALAXY,-0.8337822,-1.101755,-1.131336,-1.010374,-1.34436
1237648704040075395,183.15788,-0.30739026,20.1835,18.3468,17.35736,16.89858,16.52411,20.91196,19.28428,18.2447,17.72499,17.50508,0.1170351,1.836699,0.9894428,0.4587803,0.374464,GALAXY,-0.7284584,-0.937479,-0.8873386,-0.8264065,-0.9809666
1237648702966333455,183.01996,-1.2035523,19.59165,18.13674,17.5208,17.15091,17.03531,21.11019,20.15546,19.35267,18.90903,18.84586,0.1289759,1.454916,0.6159363,0.369894,0.1156006,GALAXY,-1.518538,-2.018724,-1.831873,-1.758118,-1.810555
1237648720158392444,183.25256,-0.938579,20.05061,18.10571,17.13254,16.74727,16.485,20.7107,18.93101,18.02338,17.66177,17.36453,0.07516389,1.944897,0.973175,0.3852654,0.2622719,GALAXY,-0.6600933,-0.8252926,-0.8908367,-0.9144936,-0.8795261
1237674648856232075,182.92524,-1.0923426,19.24034,17.25775,16.3456,15.90858,15.6163,20.54557,18.63257,17.89815,17.48336,17.08128,0.07786067,1.982594,0.9121437,0.4370232,0.2922764,GALAXY,-1.305233,-1.374821,-1.552544,-1.574776,-1.464972
1237648702966333581,183.02858,-1.0726957,19.0032,17.27841,16.64427,16.17842,15.97927,20.29876,18.84142,18.15287,17.56791,17.43822,0.1143793,1.724789,0.6341419,0.4658508,0.1991463,GALAXY,-1.295565,-1.563011,-1.508598,-1.389492,-1.45895
1237674648856232112,182.97008,-1.21952,18.43447,16.56349,15.62669,15.16406,14.86883,20.21527,18.46691,17.75809,17.29093,16.84357,0.06315242,1.870983,0.9367914,0.4626331,0.2952347,GALAXY,-1.780806,-1.903421,-2.1314,-2.126868,-1.974748
1237648720158326903,182.99497,-0.90989206,20.16426,18.14123,17.1229,16.69297,16.35138,21.20561,19.27754,18.29347,17.83957,17.45166,0.1278234,2.023035,1.018324,0.4299316,0.3415909,GALAXY,-1.041353,-1.136311,-1.170567,-1.146595,-1.100277
1237674648856232001,182.97487,-1.176542,20.76613,18.67017,17.399,16.85928,16.56433,21.93399,20.0881,18.95524,18.39367,17.94879,0.203769,2.095953,1.271177,0.5397186,0.2949429,GALAXY,-1.167866,-1.417923,-1.55624,-1.534393,-1.384457
1237648703503138949,183.00259,-0.76942702,19.90782,17.76625,16.88342,16.37263,16.00873,22.06069,20.48186,19.49607,19.05286,18.73618,0.07243562,2.141569,0.8828335,0.5107861,0.3639011,GALAXY,-2.152863,-2.715607,-2.612652,-2.680223,-2.727444
1237648720158261486,182.90978,-0.84128361,21.15791,19.61947,18.04073,17.38086,16.98325,23.48183,21.73201,20.14976,19.39105,18.92729,0.2705895,1.538445,1.578735,0.6598778,0.3976078,GALAXY,-2.323915,-2.112545,-2.109028,-2.010199,-1.94404
1237648703503270003,183.29391,-0.80103292,19.53473,17.98265,17.29911,16.8431,16.56121,20.53564,19.12222,18.40013,17.88897,17.85909,0.07861169,1.552073,0.683548,0.4560032,0.2818928,GALAXY,-1.00091,-1.13957,-1.101021,-1.04587,-1.297884
1237654669213237275,183.21095,-0.83700198,17.76643,16.04813,15.30113,14.98051,14.69749,18.88189,17.19042,16.50445,16.28201,16.0722,0.0349818,1.7183,0.7469997,0.3206186,0.283021,GALAXY,-1.115463,-1.142294,-1.203316,-1.301494,-1.374714
1237648720158392608,183.16123,-0.89455977,18.89085,17.25969,16.35874,15.96359,15.6667,21.03181,19.3636,18.32689,17.93057,17.5628,0.1270814,1.631163,0.9009533,0.3951483,0.2968864,GALAXY,-2.140959,-2.10391,-1.968157,-1.966983,-1.896096
1237674649393102985,182.91589,-0.71685216,19.36458,17.90477,16.8571,16.42225,16.06118,21.51554,20.18966,19.24735,18.8013,18.39206,0.1825297,1.459808,1.047667,0.4348488,0.3610725,GALAXY,-2.150961,-2.284887,-2.390245,-2.379045,-2.330875
1237674649929973868,182.91127,-0.37436864,20.72917,18.61369,17.35579,16.87586,16.49383,22.26625,19.9808,18.87086,18.41156,18.01713,0.1829992,2.115482,1.257893,0.4799309,0.3820324,GALAXY,-1.537085,-1.367111,-1.51507,-1.5357,-1.523298
1237674649929908554,182.82909,-0.3618827,20.32708,18.60596,17.59555,17.11966,16.74151,21.62111,19.91269,19.00339,18.4959,18.11999,0.1265686,1.721121,1.010406,0.475893,0.3781548,GALAXY,-1.294029,-1.30673,-1.407839,-1.376238,-1.378483
1237648720695197965,183.10042,-0.49262959,22.25992,20.16775,18.4357,17.8221,17.49639,22.93017,21.50207,19.80058,19.20131,18.86753,0.3358732,2.092163,1.732052,0.6135998,0.3257141,GALAXY,-0.6702518,-1.334314,-1.364882,-1.379213,-1.371141
1237648703503204410,183.019,-0.65381984,18.43807,16.80223,15.92838,15.43553,15.10327,19.78918,18.50718,17.59154,17.03863,16.82593,0.07221456,1.635843,0.8738499,0.4928493,0.3322573,GALAXY,-1.35111,-1.704954,-1.663162,-1.6031,-1.722661
1237648720695132280,182.85689,-0.42032791,20.55219,18.64427,17.67965,17.24843,16.93702,21.57599,19.74469,18.81996,18.36955,18.08834,0.1165489,1.907911,0.9646225,0.4312191,0.3114128,GALAXY,-1.023808,-1.10042,-1.140308,-1.12112,-1.151316
1237674649393102884,182.89696,-0.69955704,18.33479,17.47,17.26581,17.08657,16.96394,18.78174,18.03504,17.98996,17.88002,17.69553,0.0351093,0.8647957,0.2041893,0.1792431,0.1226234,GALAXY,-0.4469433,-0.5650406,-0.7241535,-0.7934532,-0.7315845
1237648703503204471,183.11653,-0.64982772,18.89239,17.76305,17.25137,16.91932,16.69426,20.28226,19.47528,18.85044,18.47166,18.53922,0.09538655,1.129339,0.5116825,0.3320446,0.2250652,GALAXY,-1.389872,-1.712231,-1.599068,-1.552338,-1.844967
1237648720695263367,183.13367,-0.60303763,19.50086,18.09975,17.17988,16.71841,16.47345,20.89848,19.64794,18.68352,18.21901,17.97618,0.188357,1.401108,0.9198647,0.4614735,0.244957,GALAXY,-1.397623,-1.548191,-1.503637,-1.500601,-1.502731
1237674649929973864,182.90538,-0.31005802,19.54151,17.75706,16.8259,16.42071,16.05333,21.3542,19.4019,18.4992,18.09492,17.74255,0.1169263,1.784456,0.9311562,0.4051952,0.3673782,GALAXY,-1.812687,-1.644842,-1.673296,-1.674213,-1.68922
1237648703503138981,182.99386,-0.72215783,21.38476,18.84621,17.44081,16.9397,16.5506,22.3568,20.05219,18.61144,18.11265,17.74432,0.2219788,2.538555,1.405396,0.501112,0.3890991,GALAXY,-0.9720345,-1.205988,-1.170631,-1.172947,-1.193722
1237648720695197727,183.01382,-0.60602836,16.45536,15.76026,15.69392,15.56144,15.51722,18.91724,18.69053,18.91012,18.86042,18.87746,0.03519248,0.6951008,0.06633282,0.1324806,0.04422379,GALAXY,-2.461885,-2.930277,-3.216199,-3.298974,-3.360242
1237648704040009856,183.00182,-0.37208038,19.06336,18.03884,17.70979,17.52282,17.39078,20.05043,19.55058,19.01235,18.88576,18.73522,0.0353776,1.024525,0.3290501,0.1869717,0.1320419,GALAXY,-0.9870663,-1.511736,-1.302563,-1.362946,-1.344448
1237674649929973953,182.84895,-0.3008307,21.45959,19.95854,18.30102,17.7445,17.39316,22.46719,21.12341,19.52978,19.01468,18.65473,0.3205926,1.501047,1.657518,0.5565262,0.3513393,GALAXY,-1.007601,-1.164871,-1.228756,-1.270182,-1.26157
1237648720158130354,182.64715,-1.0096144,20.76798,18.66826,17.30467,16.78242,16.4552,21.75442,19.79991,18.50648,17.93649,17.52335,0.21112,2.09972,1.363594,0.5222435,0.3272247,GALAXY,-0.9864407,-1.131643,-1.201809,-1.154068,-1.068151
1237648720158130380,182.66851,-0.87995326,19.62535,18.16779,17.39242,16.95149,16.63292,20.86081,19.44,18.71095,18.19442,17.80953,0.121988,1.45756,0.7753639,0.4409351,0.3185711,GALAXY,-1.235468,-1.272219,-1.318525,-1.242937,-1.176613
1237648720158261385,182.90518,-1.0447637,19.02922,18.0117,17.59284,17.21342,17.1022,20.20659,19.41113,18.97507,18.51163,18.31778,0.0819401,1.017515,0.4188614,0.3794212,0.1112251,GALAXY,-1.177374,-1.399431,-1.382227,-1.298212,-1.215586
1237648720158130398,182.55812,-0.89428588,21.86456,19.42399,17.84664,17.32266,16.95808,23.25419,20.70062,19.20449,18.6494,18.1821,0.2796354,2.440567,1.577351,0.5239792,0.3645821,GALAXY,-1.389633,-1.276628,-1.357847,-1.326735,-1.22402
1237648720158195843,182.78648,-1.0212878,19.75461,17.55679,16.33163,15.85419,15.52844,21.27426,19.20228,17.98649,17.50383,17.09583,0.1798101,2.197821,1.225159,0.477437,0.3257551,GALAXY,-1.519646,-1.645491,-1.65486,-1.649636,-1.567389
1237674648856166581,182.83423,-1.065979,18.22344,16.78114,16.17961,15.80179,15.56451,20.37918,19.0464,18.61169,18.22993,17.86502,0.08167756,1.442295,0.601532,0.3778219,0.2372732,GALAXY,-2.155743,-2.265263,-2.432085,-2.428142,-2.300503
1237648703519719732,220.8267,-0.66986948,20.28489,18.54411,17.60771,17.13191,16.9412,21.77686,20.23983,19.35104,18.88856,18.63138,0.1470913,1.740774,0.9364052,0.4757977,0.1907101,GALAXY,-1.49197,-1.695719,-1.74333,-1.756647,-1.690176
1237648703519654397,220.73598,-0.81089832,18.67605,17.5341,17.16974,16.96746,16.90433,21.16339,20.19489,19.91108,19.67788,19.48001,0.0449921,1.141953,0.3643589,0.202282,0.06312943,GALAXY,-2.487341,-2.660795,-2.741335,-2.710424,-2.575676
1237648720174776479,220.57535,-0.85807614,21.06511,18.38237,17.28504,16.79299,16.45714,22.29206,19.80141,18.65397,18.12798,17.70915,0.1428663,2.682743,1.097328,0.4920559,0.335844,GALAXY,-1.226942,-1.419043,-1.368925,-1.334993,-1.25201
1237648720174907587,220.8825,-0.84375115,20.22388,18.39034,17.42543,17.01926,16.72386,21.68701,19.87475,18.81728,18.41237,18.05121,0.1440125,1.833532,0.9649143,0.4061661,0.2954082,GALAXY,-1.463129,-1.484402,-1.391846,-1.393108,-1.327351
1237648703519654267,220.65382,-0.77309962,20.02787,17.92964,16.91986,16.48158,16.13403,21.15528,19.15127,18.19294,17.73403,17.3781,0.108904,2.098236,1.009771,0.4382877,0.3475456,GALAXY,-1.127407,-1.221636,-1.273077,-1.252449,-1.244072
1237648703519719802,220.86193,-0.72091122,19.38364,17.31162,16.18627,15.72854,15.37801,20.82697,18.7958,17.7669,17.34715,16.99893,0.1498616,2.072025,1.125345,0.4577293,0.3505354,GALAXY,-1.443331,-1.484182,-1.580627,-1.618605,-1.620921
